,Focal depths wrt exit plane (mm),,,,,,,,,,,,
Distance WRT Exit plane (mm),7.19,10,12.97,15,18.74,20,25,30,45,60,75,90,96.01
29.5,0.531529289,0.793165715,1.20872946,0.379026481,0.503165642,1.754172146,11.40277935,18.17604592,4.153378722,1.08841227,3.048662148,3.107576782,2.818413421
30,0.589533836,0.690133565,1.234516959,0.498703657,0.309093676,1.332383991,10.49302276,17.90311198,4.911254071,0.93635379,2.947274815,3.267120413,3.038639515
30.5,0.643332036,0.59299423,1.236508171,0.616169033,0.176932311,0.975017085,9.596850963,17.54055598,5.70663841,0.819991731,2.811403632,3.392914352,3.237780366
31,0.690008434,0.503440001,1.219066908,0.721783961,0.095491512,0.681061836,8.721659327,17.09618723,6.530236644,0.741957276,2.641838411,3.479476602,3.407397481
31.5,0.727422524,0.423141055,1.18602818,0.809172359,0.051259893,0.449311425,7.874146276,16.57734789,7.373765518,0.704290748,2.440984204,3.521945588,3.53948569
32,0.754330393,0.353441211,1.140498773,0.875511591,0.031163891,0.27691043,7.060134978,15.99101705,8.228710377,0.709353541,2.213986097,3.517338986,3.627819187
32.5,0.770446529,0.295161161,1.085062938,0.920980902,0.025754242,0.158161232,6.285415397,15.34618103,9.086284594,0.760634902,1.969324623,3.465982047,3.669564637
33,0.776348401,0.248509615,1.022027142,0.947766315,0.031013454,0.084094998,5.556003592,14.65527821,9.937846308,0.862920293,1.718163135,3.37182687,3.665850858
33.5,0.773163403,0.213103807,0.953480928,0.958935074,0.047625882,0.043341868,4.877247361,13.93278863,10.77472761,1.021506245,1.472561338,3.241219256,3.620746041
34,0.762155017,0.188102185,0.881236275,0.957498126,0.078177157,0.024376151,4.252651773,13.19246823,11.58788377,1.240692147,1.243497827,3.080994533,3.539435574
34.5,0.74440281,0.17241259,0.806813828,0.945886336,0.124038038,0.018331983,3.683439736,12.4457187,12.36849088,1.522305678,1.039582844,2.897084832,3.426758649
35,0.720682195,0.16489015,0.731519644,0.925839257,0.18359387,0.020917029,3.168892469,11.7014872,13.1094056,1.865062709,0.866649609,2.694027505,3.286477818
35.5,0.691494925,0.164446027,0.656519956,0.898509932,0.252330947,0.032233293,2.706857529,10.9663744,13.80582916,2.265003567,0.727938263,2.475069818,3.120991677
36,0.657179451,0.170047004,0.582862996,0.864628245,0.324190149,0.054598404,2.294103458,10.24426238,14.45426827,2.716599357,0.624624149,2.24270948,2.931445393
36.5,0.618090504,0.180654748,0.511495836,0.824710254,0.393235536,0.089750174,1.92670133,9.53646014,15.05108174,3.21396277,0.556637041,1.999770496,2.718594789
37,0.57483704,0.195186406,0.443331431,0.779341726,0.454940825,0.137013767,1.600611518,8.843291837,15.59261884,3.75180674,0.523705964,1.750810748,2.484424588
37.5,0.528477925,0.212548136,0.37931851,0.729443103,0.50679593,0.193123686,1.312277865,8.166263404,16.07669155,4.325832233,0.526392497,1.502997815,2.233635601
38,0.480521105,0.231723716,0.320419702,0.676343606,0.548230571,0.253316243,1.058873368,7.508926847,16.50295489,4.932144544,0.566737087,1.265617239,1.973882942
38.5,0.432683824,0.25185929,0.267478953,0.621606217,0.580054689,0.312798323,0.838156449,6.875753,16.87091591,5.565746117,0.648156619,1.048293535,1.714564233
39,0.386545433,0.272309386,0.221072082,0.566748427,0.603753374,0.367867835,0.648226065,6.270423523,17.17773129,6.219151818,0.774480376,0.858951532,1.465052874
39.5,0.343282843,0.292655851,0.181439349,0.51305355,0.620947956,0.416423894,0.48742307,5.695289111,17.41911192,6.882649846,0.948489952,0.702551847,1.233392699
40,0.303571052,0.312707167,0.14851122,0.461525374,0.63312767,0.45793738,0.354316155,5.152090822,17.59347973,7.54663753,1.17073749,0.580925219,1.025729326
40.5,0.267602097,0.332441599,0.121969898,0.412892424,0.641530687,0.493045006,0.247555967,4.642602736,17.70543979,8.204476205,1.439287596,0.493437209,0.846169325
